graphname,nv,ne,NCon,ExactTreeWidth,GreedyMethod,KaHyParBipartite,SABipartite,TreeSA
bull,5,5,13.586839787961827,13.586839787961827,13.586839787961827,13.586839787961827,13.586839787961827,13.586839787961827
chvatal,12,24,42.58519730958958,42.614824864334814,45.09016476707785,45.09016476707785,45.08752564390082,42.58519730958958
cubical,8,12,25.170081535380607,25.672535838279206,25.170081535380607,25.170081535380607,25.170081535380607,25.170081535380607
diamond,4,5,17.002815015607055,17.002815015607055,17.002815015607055,17.002815015607055,17.002815015607055,17.002815015607055
frucht,12,18,23.322491537597468,23.322491537597468,23.322491537597468,23.322491537597468,23.322491537597468,23.322491537597468
heawood,14,21,33.593041367648866,34.34131467023274,33.64465198851069,33.593157658102996,33.593157658102996,33.59304136764886
house,5,6,17.047123912114024,17.586839787961825,17.047123912114028,17.047123912114024,17.047123912114024,17.047123912114024
housex,5,8,24.169944569113444,25.58507990276711,24.17023805233665,24.169944569113444,24.169944569113444,24.169944569113444
krackhardtkite,10,18,36.1708640318715,37.04747546813754,36.170883586512154,36.17088358651215,36.170883586512154,36.1708640318715
octahedral,6,12,33.087473200638705,33.087473200638705,33.087473200638705,33.087473200638705,33.087473200638705,33.087473200638705
petersen,10,15,29.098042366733186,29.649263195591782,29.09804236673319,29.09819661452721,29.09804236673319,29.09804236673319
sedgewickmaze,8,10,20.25740625933165,21.64577099785494,20.257682480708766,20.257682480708763,20.257682480708766,20.25740625933165
tetrahedral,4,6,21.002815015607055,21.002815015607055,21.002815015607055,21.002815015607055,21.002815015607055,21.002815015607055
truncatedtetrahedron,12,18,23.322491537597468,23.322491537597468,23.322491537597468,23.322491537597468,24.644081593265675,23.322491537597468
